Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
1,CJ Abrams*,24,WSN,489,1765,3.61,1151,65.1%,23.5%,17.5%,27.8%,31.2%,76.5%,0.0%,49.9%,77.2%,33.7%,3.3%,16,0,12.7%,62,25,6.5%,32,19,15,70,17.6%,0,0,0,abramcj01
2,Wilyer Abreu*,26,BOS,395,1526,3.86,999,64.7%,20.4%,18.2%,35.0%,26.3%,79.6%,0.0%,52.1%,77.1%,31.4%,4.3%,17,0,11.9%,47,23,6.3%,25,15,15,78,16.1%,0,0,0,abreuwi02
3,Maximo Acosta,22,MIA,3,8,2.67,7,87.5%,28.6%,28.6%,28.6%,14.3%,71.4%,0.0%,62.5%,60.0%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,1,50.0%,0,0,0,acostma02
4,Luisangel Acuña,23,NYM,175,622,3.55,402,64.6%,23.6%,17.7%,26.9%,31.8%,76.4%,0.0%,49.4%,76.9%,35.4%,4.0%,7,0,12.6%,22,12,9.1%,16,8,8,26,23.5%,0,0,0,acunajo01
5,Ronald Acuña Jr.,27,ATL,257,1091,4.25,639,57.9%,23.0%,23.8%,30.5%,22.7%,77.0%,0.0%,45.1%,69.1%,40.1%,5.1%,13,3,14.8%,38,14,15.6%,40,20,10,58,14.7%,0,0,0,acunaro01
6,Willy Adames,29,SFG,532,2165,4.07,1348,62.1%,24.5%,21.7%,29.4%,24.5%,75.5%,0.0%,47.0%,71.3%,28.9%,4.7%,25,0,14.8%,79,34,11.1%,59,33,35,106,24.8%,0,0,0,adamewi01
7,Jordyn Adams,25,BAL,6,14,2.33,11,78.6%,18.2%,45.5%,9.1%,27.3%,81.8%,0.0%,64.3%,44.4%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0,adamsjo03
8,Riley Adams,29,WSN,190,756,3.98,497,65.7%,27.4%,25.4%,26.8%,20.5%,72.6%,0.0%,47.8%,65.1%,32.6%,3.2%,6,0,13.2%,25,9,6.3%,12,7,6,66,8.3%,0,0,0,adamsri03
9,Jo Adell,26,LAA,442,1722,3.90,1123,65.2%,18.7%,23.2%,32.1%,25.9%,81.2%,0.0%,53.0%,71.4%,45.5%,2.3%,10,0,8.8%,39,26,4.8%,21,16,33,82,28.7%,0,0,0,adelljo01
10,Nick Ahmed,35,TEX,10,31,3.10,23,74.2%,21.7%,39.1%,13.0%,26.1%,78.3%,0.0%,58.1%,50.0%,40.0%,10.0%,1,0,10.0%,1,0,10.0%,1,0,0,3,0.0%,0,0,0,ahmedni01
11,Ozzie Albies#,28,ATL,532,1903,3.58,1228,64.4%,16.6%,17.9%,33.1%,32.3%,83.4%,0.0%,53.8%,78.5%,37.2%,4.3%,23,2,12.4%,66,30,6.2%,33,15,6,77,7.2%,0,0,0,albieoz01
12,Sergio Alcántara#,28,SFG,4,18,4.50,12,66.7%,33.3%,16.7%,33.3%,16.7%,66.7%,0.0%,44.4%,75.0%,50.0%,0.0%,0,0,25.0%,1,1,0.0%,0,0,1,1,50.0%,0,0,0,alcanse01
13,Blaze Alexander,26,ARI,127,480,3.78,308,63.9%,26.9%,25.3%,24.4%,23.4%,73.1%,0.0%,46.9%,65.3%,34.6%,1.6%,2,0,9.4%,12,7,5.5%,7,5,12,27,30.8%,0,0,0,alexabl01
14,CJ Alexander*,28,ATH,17,67,3.94,46,68.7%,21.7%,34.8%,23.9%,19.6%,78.3%,0.0%,53.7%,55.6%,52.9%,5.9%,1,0,5.9%,1,0,11.8%,2,2,1,7,12.5%,0,0,0,alexacj01
15,Tyler Alexander,30,CHW,1,3,3.00,4,100.0%,25.0%,0.0%,25.0%,25.0%,50.0%,,66.7%,66.7%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,alexaty01
16,Greg Allen#,32,BAL,14,52,3.71,36,69.2%,19.4%,33.3%,22.2%,25.0%,80.6%,0.0%,55.8%,58.6%,35.7%,0.0%,0,0,0.0%,0,0,7.1%,1,1,1,4,20.0%,0,0,0,allengr01
17,Nick Allen,26,ATL,380,1465,3.86,960,65.5%,27.0%,15.3%,30.8%,26.9%,73.0%,0.0%,47.8%,79.0%,31.6%,3.4%,13,0,9.5%,36,18,7.1%,27,14,28,61,31.5%,0,0,0,allenni02
18,Pete Alonso,30,NYM,537,2158,4.02,1339,61.6%,24.7%,20.2%,28.9%,26.1%,75.2%,0.0%,46.7%,73.1%,32.8%,4.8%,26,3,15.6%,84,30,10.2%,55,30,19,104,15.4%,0,0,0,alonspe01
19,Jose Altuve,35,HOU,516,1816,3.52,1211,66.0%,24.9%,14.9%,28.4%,31.8%,75.1%,0.0%,50.1%,80.1%,45.5%,4.3%,22,3,11.4%,59,10,8.5%,44,16,14,69,16.9%,0,0,0,altuvjo01
20,Francisco Alvarez,23,NYM,209,840,4.02,507,60.3%,23.9%,27.0%,23.3%,25.8%,76.1%,0.0%,46.0%,64.5%,33.5%,5.7%,12,2,15.3%,32,9,7.2%,15,10,7,47,13.0%,0,0,0,alvarfr01
21,Nacho Alvarez Jr.,22,ATL,85,334,3.93,225,67.4%,36.9%,13.8%,27.1%,22.2%,63.1%,0.0%,42.5%,78.2%,11.8%,5.9%,5,0,9.4%,8,2,8.2%,7,5,9,15,37.5%,0,0,0,alvarna01
22,Yordan Alvarez*,28,HOU,121,490,4.05,305,60.6%,26.2%,16.4%,29.8%,27.5%,73.8%,0.0%,45.9%,77.8%,26.4%,7.4%,9,1,16.5%,20,5,12.4%,15,11,7,14,33.3%,0,0,0,alvaryo01
23,Adael Amador#,22,COL,128,451,3.52,289,64.1%,26.3%,15.2%,27.7%,30.8%,73.7%,0.0%,47.2%,79.3%,40.6%,1.6%,2,0,9.4%,12,5,6.3%,8,4,9,18,33.3%,0,0,0,amadoad01
24,Jacob Amaya,26,CHW,73,269,3.68,179,66.5%,40.2%,11.7%,17.9%,30.2%,59.8%,0.0%,39.8%,80.4%,24.7%,1.4%,1,0,13.7%,10,5,5.5%,4,3,8,8,50.0%,0,0,0,amayaja01
