Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Logan Webb,28,SFG,NL,2.8,11,9,.550,3.19,26,26,0,0,0,0,160.2,161,61,57,11,35,0,175,4,0,2,666,122,2.56,1.220,9.0,0.6,2.0,9.8,5.00,AS,webblo01
2,Garrett Crochet*,26,BOS,AL,4.8,13,5,.722,2.43,25,25,0,1,1,0,159.1,130,46,43,14,41,0,196,1,3,6,637,168,2.59,1.073,7.3,0.8,2.3,11.1,4.78,AS,crochga01
3,Robbie Ray*,33,SFG,NL,3.5,10,6,.625,2.85,26,26,0,1,0,0,154.2,115,55,49,18,57,0,158,3,1,5,627,136,3.75,1.112,6.7,1.0,3.3,9.2,2.77,AS,rayro02
4,Paul Skenes,23,PIT,NL,5.9,7,9,.438,2.16,26,26,0,1,0,0,154.0,111,40,37,9,37,0,174,6,0,2,605,195,2.46,0.961,6.5,0.5,2.2,10.2,4.70,AS,skenepa01
5,Tarik Skubal*,28,DET,AL,5.5,11,3,.786,2.42,24,24,0,1,1,0,152.1,110,41,41,13,23,0,190,4,1,2,581,172,2.26,0.873,6.5,0.8,1.4,11.2,8.26,AS,skubata01
6,Framber Valdez*,31,HOU,AL,4.4,11,6,.647,3.01,24,24,0,2,0,0,152.1,129,54,51,9,50,0,151,6,1,9,625,137,3.01,1.175,7.6,0.5,3.0,8.9,3.02,,valdefr01
7,Bryan Woo,25,SEA,AL,3.3,10,7,.588,3.02,24,24,0,0,0,0,152.0,119,54,51,22,28,0,153,3,0,3,600,125,3.60,0.967,7.0,1.3,1.7,9.1,5.46,AS,woobr01
8,Zack Littell,29,2TM,2LG,3.1,9,8,.529,3.52,25,25,0,1,0,0,151.0,144,59,59,27,24,1,103,5,0,3,611,118,4.65,1.113,8.6,1.6,1.4,6.1,4.29,,litteza01
8,Zack Littell,29,TBR,AL,2.4,8,8,.500,3.58,22,22,0,1,0,0,133.1,128,53,53,26,21,1,89,5,0,2,537,114,4.90,1.118,8.6,1.8,1.4,6.0,4.24,,litteza01
8,Zack Littell,29,CIN,NL,0.7,1,0,1.000,3.06,3,3,0,0,0,0,17.2,16,6,6,1,3,0,14,0,0,1,74,152,2.78,1.075,8.2,0.5,1.5,7.1,4.67,,litteza01
9,Cristopher Sánchez*,28,PHI,NL,5.9,11,4,.733,2.45,24,24,0,1,0,0,150.2,128,43,41,10,36,0,157,6,0,5,609,181,2.73,1.088,7.6,0.6,2.2,9.4,4.36,,sanchcr01
10,Zac Gallen,29,ARI,NL,0.4,9,13,.409,5.28,26,26,0,0,0,0,150.0,148,93,88,26,52,1,134,4,0,1,644,82,4.70,1.333,8.9,1.6,3.1,8.0,2.58,,galleza01
11,Zack Wheeler,35,PHI,NL,5.2,10,5,.667,2.71,24,24,0,1,0,0,149.2,107,48,45,19,33,0,195,8,0,2,585,164,2.98,0.935,6.4,1.1,2.0,11.7,5.91,AS,wheelza01
12,Max Fried*,31,NYY,AL,2.4,13,5,.722,3.26,25,25,0,0,0,0,149.0,130,65,54,13,37,0,141,9,1,7,617,125,3.29,1.121,7.9,0.8,2.2,8.5,3.81,AS,friedma01
13,José Soriano,26,LAA,AL,2.5,8,9,.471,4.00,26,26,0,0,0,0,148.2,141,74,66,11,64,0,130,4,0,7,634,105,3.70,1.379,8.5,0.7,3.9,7.9,2.03,,soriajo02
14,Ryan Pepiot,27,TBR,AL,1.5,8,10,.444,3.95,26,26,0,0,0,0,148.0,125,70,65,26,51,0,146,5,0,4,602,104,4.56,1.189,7.6,1.6,3.1,8.9,2.86,,pepiory01
15,Kevin Gausman,34,TOR,AL,2.4,8,9,.471,3.78,25,25,0,0,0,0,147.2,115,64,62,19,42,2,142,3,1,0,595,112,3.78,1.063,7.0,1.2,2.6,8.7,3.38,,gausmke01
16,Dean Kremer,29,BAL,AL,2.0,9,9,.500,3.97,25,24,0,0,0,0,147.1,142,67,65,18,37,0,123,1,1,6,605,100,3.81,1.215,8.7,1.1,2.3,7.5,3.32,,kremede01
17,Carlos Rodón*,32,NYY,AL,3.3,12,7,.632,3.25,25,25,0,0,0,0,146.2,98,59,53,19,58,0,164,5,0,4,595,126,3.85,1.064,6.0,1.2,3.6,10.1,2.83,AS,rodonca01
18,José Berríos,31,TOR,AL,1.8,9,5,.643,4.00,26,26,0,0,0,0,146.1,140,70,65,22,49,2,121,7,1,1,611,105,4.57,1.292,8.6,1.4,3.0,7.4,2.47,,berrijo01
19,Merrill Kelly,36,2TM,2LG,3.2,9,7,.563,3.36,25,25,0,0,0,0,144.2,114,61,54,17,44,0,136,2,2,0,584,128,3.72,1.092,7.1,1.1,2.7,8.5,3.09,,kellyme01
19,Merrill Kelly,36,ARI,NL,3.2,9,6,.600,3.22,22,22,0,0,0,0,128.2,98,53,46,14,38,0,121,1,1,0,514,135,3.56,1.057,6.9,1.0,2.7,8.5,3.18,,kellyme01
19,Merrill Kelly,36,TEX,AL,0.0,0,1,.000,4.50,3,3,0,0,0,0,16.0,16,8,8,3,6,0,15,1,1,0,70,84,4.99,1.375,9.0,1.7,3.4,8.4,2.50,,kellyme01
20,Hunter Brown,26,HOU,AL,4.9,10,5,.667,2.45,24,24,0,1,0,0,143.0,100,40,39,12,43,1,164,5,1,0,558,168,2.92,1.000,6.3,0.8,2.7,10.3,3.81,AS,brownhu01
21,Yusei Kikuchi*,34,LAA,AL,3.4,6,8,.429,3.52,26,26,0,0,0,0,143.0,145,64,56,19,61,3,149,2,0,6,621,120,4.08,1.441,9.1,1.2,3.8,9.4,2.44,AS,kikucyu01
22,Matthew Boyd*,34,CHC,NL,3.2,11,6,.647,2.46,24,24,0,0,0,0,142.2,115,44,39,12,30,0,126,5,0,1,558,154,3.18,1.016,7.3,0.8,1.9,7.9,4.20,AS,boydma01
23,Freddy Peralta,29,MIL,NL,4.1,15,5,.750,2.78,26,26,0,0,0,0,142.2,104,45,44,16,53,0,154,8,0,4,588,147,3.70,1.100,6.6,1.0,3.3,9.7,2.91,AS,peralfr01
24,Michael Wacha,33,KCR,AL,3.2,8,9,.471,3.34,25,25,0,0,0,0,142.2,130,53,53,12,37,0,104,3,0,1,586,122,3.59,1.171,8.2,0.8,2.3,6.6,2.81,,wachami01
25,Luis Castillo,32,SEA,AL,1.7,8,6,.571,3.48,25,25,0,0,0,0,142.1,136,60,55,18,38,0,125,6,0,2,595,108,3.93,1.222,8.6,1.1,2.4,7.9,3.29,,castilu02
26,Mitch Keller,29,PIT,NL,1.2,5,11,.313,4.13,25,25,0,0,0,0,141.2,141,70,65,13,39,0,112,5,0,2,601,102,3.66,1.271,9.0,0.8,2.5,7.1,2.87,,kellemi03
27,Nick Pivetta,32,SDP,NL,4.1,12,4,.750,2.87,24,24,0,0,0,0,141.1,98,49,45,15,36,1,144,2,0,1,555,149,3.27,0.948,6.2,1.0,2.3,9.2,4.00,,pivetni01
28,Jacob deGrom,37,TEX,AL,2.9,10,5,.667,2.76,24,24,0,0,0,0,140.1,100,43,43,19,30,0,148,3,0,1,543,134,3.47,0.926,6.4,1.2,1.9,9.5,4.93,AS,degroja01
29,Sonny Gray,35,STL,NL,1.3,11,6,.647,4.30,25,25,0,1,1,0,140.1,143,72,67,19,24,0,155,3,0,1,577,97,3.25,1.190,9.2,1.2,1.5,9.9,6.46,,grayso01
30,Jake Irvin,28,WSN,NL,0.7,8,7,.533,5.14,25,25,0,0,0,0,140.0,146,85,80,27,47,0,94,5,0,3,607,80,5.40,1.379,9.4,1.7,3.0,6.0,2.00,,irvinja01
31,Jeffrey Springs*,32,ATH,AL,1.2,10,8,.556,4.24,26,24,0,0,0,0,140.0,123,77,66,24,44,0,114,3,3,0,585,99,4.73,1.193,7.9,1.5,2.8,7.3,2.59,,sprinje01
32,Jesús Luzardo*,27,PHI,NL,2.5,11,6,.647,4.21,25,25,0,0,0,0,139.0,138,69,65,13,48,0,158,1,1,2,588,105,3.12,1.338,8.9,0.8,3.1,10.2,3.29,,luzarje01
33,Nick Martinez,34,CIN,NL,1.4,10,9,.526,4.73,27,24,0,0,0,0,139.0,138,75,73,19,33,0,98,4,0,5,573,96,4.28,1.230,8.9,1.2,2.1,6.3,2.97,,martini01
34,Joe Ryan,29,MIN,AL,5.0,12,5,.706,2.72,24,23,0,0,0,0,139.0,101,44,42,16,27,0,153,11,2,0,543,157,3.23,0.921,6.5,1.0,1.7,9.9,5.67,AS,ryanjo04
35,Chris Bassitt,36,TOR,AL,1.4,11,6,.647,4.22,26,25,0,1,0,0,138.2,146,68,65,21,39,0,132,12,3,3,600,100,4.29,1.334,9.5,1.4,2.5,8.6,3.38,,bassich01
36,MacKenzie Gore*,26,WSN,NL,2.9,5,12,.294,4.04,25,25,0,0,0,0,138.0,133,63,62,17,49,0,165,5,0,12,583,102,3.50,1.319,8.7,1.1,3.2,10.8,3.37,AS,gorema01
37,Tanner Bibee,26,CLE,AL,0.1,9,9,.500,4.54,24,24,0,1,0,0,136.2,133,76,69,22,43,1,124,7,1,2,579,92,4.49,1.288,8.8,1.4,2.8,8.2,2.88,,bibeeta01
38,David Peterson*,29,NYM,NL,2.3,7,5,.583,3.30,23,23,0,1,1,0,136.1,124,55,50,9,50,1,117,6,1,3,572,120,3.49,1.276,8.2,0.6,3.3,7.7,2.34,AS,peterda01
39,Luis Severino,31,ATH,AL,0.7,6,11,.353,4.82,24,24,0,0,0,0,136.1,139,82,73,13,44,1,103,13,0,3,598,87,4.10,1.342,9.2,0.9,2.9,6.8,2.34,,severlu01
40,Shane Baz,26,TBR,AL,0.2,8,9,.471,4.93,24,24,0,0,0,0,135.0,130,75,74,21,50,0,140,7,0,3,576,83,4.33,1.333,8.7,1.4,3.3,9.3,2.80,,bazsh01
41,Yoshinobu Yamamoto,26,LAD,NL,3.0,10,8,.556,2.90,24,24,0,0,0,0,133.2,98,48,43,12,46,0,151,3,0,4,539,144,3.13,1.077,6.6,0.8,3.1,10.2,3.28,AS,yamamyo01
42,Gavin Williams,25,CLE,AL,2.5,8,4,.667,3.24,25,25,0,0,0,0,133.1,105,53,48,18,68,0,132,3,1,9,563,129,4.49,1.298,7.1,1.2,4.6,8.9,1.94,,williga01
