Rk,Name,Age,Tm,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru,Name-additional
1,Andrew Abbott*,25,CIN,138.0,586,2333,3.98,1490,63.9%,25.5%,16.8%,29.6%,28.1%,74.5%,0.0%,47.6%,77.4%,61.6%,5.6%,33,23,29.4%,172,94,9,19,95,16.7%,20,9,0,0,0,abbotan01
2,Bryan Abreu,27,HOU,78.1,325,1300,4.00,840,64.6%,28.6%,24.3%,25.2%,21.9%,71.4%,0.0%,46.2%,66.0%,56.0%,4.6%,15,8,29.2%,95,59,8,33,70,32.0%,19,7,0,0,0,abreubr01
3,Jason Adam,32,TOT,73.2,284,1109,3.90,712,64.2%,21.6%,30.1%,24.2%,24.2%,78.4%,0.0%,50.3%,61.6%,60.2%,3.5%,10,6,26.1%,74,39,3,12,69,14.8%,20,1,0,0,0,adamja01
4,Jason Adam,32,TBR,47.0,182,706,3.88,457,64.7%,21.7%,27.6%,26.5%,24.3%,78.3%,0.0%,50.7%,64.8%,56.6%,4.9%,9,5,27.5%,50,30,2,9,41,18.0%,15,1,0,0,0,adamja01
5,Jason Adam,32,SDP,26.2,102,403,3.95,255,63.3%,21.6%,34.5%,20.0%,23.9%,78.4%,0.0%,49.6%,56.0%,66.7%,1.0%,1,1,23.5%,24,9,1,3,28,9.7%,5,0,0,0,0,adamja01
6,Austin Adams,33,OAK,41.1,192,805,4.19,481,59.8%,30.6%,24.5%,23.7%,21.2%,69.4%,0.0%,41.5%,64.7%,54.7%,7.8%,15,9,25.5%,49,26,4,9,44,17.0%,7,4,0,0,0,adamsau02
7,Ty Adcock,27,NYM,4.1,21,86,4.10,55,64.0%,20.0%,12.7%,38.2%,29.1%,80.0%,0.0%,51.2%,84.1%,52.4%,4.8%,1,1,38.1%,8,7,2,0,3,0.0%,0,0,0,0,0,adcocty01
8,Joan Adon,25,WSN,10.2,48,178,3.71,110,61.8%,28.2%,10.9%,27.3%,33.6%,71.8%,0.0%,44.4%,84.8%,50.0%,4.2%,2,1,20.8%,10,6,2,0,6,0.0%,2,1,0,0,0,adonjo01
9,Julian Aguiar,23,CIN,31.2,140,530,3.79,338,63.8%,22.2%,14.5%,32.5%,30.8%,77.8%,0.0%,49.6%,81.4%,58.6%,4.3%,6,4,26.4%,37,27,3,7,12,36.8%,3,1,0,0,0,aguiaju01
10,Keegan Akin*,29,BAL,78.2,313,1241,3.96,816,65.8%,28.2%,21.6%,26.3%,23.9%,71.8%,0.0%,47.2%,70.0%,63.6%,4.2%,13,10,31.9%,100,44,5,32,65,33.0%,13,2,0,0,0,akinke01
11,Jorge Alcalá,28,MIN,58.1,237,932,3.93,601,64.5%,24.1%,21.3%,28.8%,25.6%,75.7%,0.0%,48.8%,71.7%,64.1%,4.2%,10,7,28.7%,68,36,0,16,42,27.6%,14,2,0,0,0,alcaljo01
12,Sam Aldegheri*,22,LAA,13.0,67,222,3.31,128,57.7%,27.3%,15.6%,21.9%,35.2%,72.7%,0.0%,41.9%,78.5%,58.2%,9.0%,6,4,13.4%,9,5,0,2,8,20.0%,3,2,0,0,0,aldegsa01
13,Scott Alexander*,34,OAK,38.2,161,568,3.53,366,64.4%,23.5%,15.0%,30.3%,30.6%,76.0%,0.0%,48.9%,79.6%,52.8%,8.1%,13,5,20.5%,33,16,0,9,22,29.0%,4,1,0,0,0,alexasc02
14,Tyler Alexander*,29,TBR,107.2,455,1668,3.67,1146,68.7%,27.2%,14.7%,28.8%,29.3%,72.8%,0.0%,50.0%,79.9%,67.5%,2.6%,12,8,27.3%,124,61,5,24,66,26.7%,16,3,0,0,0,alexaty01
15,Kolby Allard*,26,PHI,27.0,117,436,3.73,288,66.1%,26.0%,16.0%,28.1%,29.9%,74.0%,0.0%,48.9%,78.4%,71.8%,0.9%,1,1,29.9%,35,13,2,4,19,17.4%,4,0,0,0,0,allarko01
16,Logan Allen*,27,ARI,28.0,128,470,3.67,301,64.0%,22.6%,15.3%,30.6%,31.6%,77.4%,0.0%,49.6%,80.3%,63.3%,4.7%,6,4,21.1%,27,11,0,4,17,19.0%,4,2,0,0,0,allenlo01
17,Logan Allen*,25,CLE,97.1,433,1665,3.85,1041,62.5%,28.0%,15.3%,27.2%,29.6%,72.0%,0.0%,45.0%,78.8%,63.3%,2.3%,10,7,24.7%,107,62,5,21,58,26.6%,8,3,0,0,0,allenlo02
18,Yency Almonte,30,CHC,15.2,67,267,3.99,153,57.3%,28.1%,22.2%,25.5%,24.2%,71.9%,0.0%,41.2%,69.1%,52.2%,7.5%,5,1,25.4%,17,9,1,6,14,30.0%,4,3,0,0,0,almonye01
